t_session_sec,abs_ts,phase_rec,trial_idx_rec,attention_rec,attention_pct_rec,attention_window_open_rec,theta_power_rec,smr_power_rec,beta1_power_rec
30.9566,1785919047.373420,A,3,0.4930,0.6000,0,0.2816,0.8168,0.4273
31.0349,1785919047.452444,A,3,0.5071,0.5400,0,0.2911,0.7704,0.4193
31.1116,1785919047.529050,A,3,0.4730,0.3933,0,0.3188,0.6464,0.3583
31.1906,1785919047.607480,A,3,0.4341,0.3433,0,0.3390,0.6293,0.3498
31.2698,1785919047.686627,A,3,0.4418,0.4600,0,0.3049,0.7413,0.3942
31.3474,1785919047.764428,A,3,0.4673,0.5267,0,0.2916,0.7557,0.3988
31.4265,1785919047.843339,A,3,0.5091,0.6067,0,0.2772,0.7948,0.4293
31.5045,1785919047.921766,A,3,0.4944,0.4600,0,0.3035,0.7350,0.3946
31.5833,1785919048.000443,A,3,0.4651,0.3967,0,0.3149,0.6571,0.3610
31.6625,1785919048.079551,A,3,0.4445,0.3967,0,0.3170,0.6751,0.3623
31.7413,1785919048.158609,A,3,0.4032,0.3067,0,0.3545,0.6232,0.3369
31.8186,1785919048.236450,A,3,0.3692,0.2900,0,0.3623,0.5848,0.3306
31.8972,1785919048.314084,A,3,0.3805,0.4067,0,0.3078,0.6809,0.3645
31.9764,1785919048.393568,A,3,0.3723,0.3533,0,0.3330,0.6492,0.3577
32.0556,1785919048.473198,A,3,0.4336,0.5767,0,0.2794,0.7602,0.4136
32.1345,1785919048.551775,A,3,0.3925,0.2967,0,0.3488,0.5891,0.3360
32.2126,1785919048.629873,A,3,0.4308,0.5200,0,0.2977,0.7719,0.4239
32.2914,1785919048.708603,A,3,0.4205,0.3967,0,0.3160,0.6955,0.3886
32.3707,1785919048.787686,A,3,0.3844,0.3000,0,0.3418,0.6018,0.3379
32.4495,1785919048.866771,A,3,0.3771,0.3600,0,0.3256,0.6741,0.3566
32.5284,1785919048.945771,A,3,0.3859,0.4067,0,0.3041,0.6817,0.3797
32.6073,1785919049.024222,A,3,0.4032,0.4433,0,0.3025,0.7282,0.3902
32.6844,1785919049.101246,A,3,0.4602,0.5933,0,0.2784,0.7953,0.4230
32.7626,1785919049.179869,A,3,0.5161,0.6467,0,0.2727,0.8305,0.4443
32.8404,1785919049.257378,A,3,0.4983,0.4567,0,0.2990,0.7247,0.3945
32.9185,1785919049.335610,A,3,0.5038,0.5167,0,0.2941,0.7791,0.4067
32.9962,1785919049.413208,A,3,0.5717,0.7300,0,0.2621,0.8519,0.4652
33.0743,1785919049.491938,A,3,0.6042,0.6800,0,0.2631,0.8180,0.4457
33.1543,1785919049.571211,A,3,0.6559,0.7767,0,0.2513,0.8796,0.4746
33.2334,1785919049.650475,A,3,0.6591,0.6667,0,0.2699,0.8525,0.4567
33.3115,1785919049.728780,A,3,0.6984,0.7900,0,0.2419,0.9244,0.4812
33.3897,1785919049.806681,A,3,0.7189,0.7667,1,0.2556,0.8736,0.4805
33.4654,1785919049.882355,A,3,0.7642,0.8700,1,0.2139,1.0293,0.5566
33.5449,1785919049.962395,A,3,0.7870,0.8400,1,0.2236,0.9710,0.5153
33.6218,1785919050.038711,A,3,0.8069,0.8533,1,0.2141,0.9944,0.5259
33.6992,1785919050.116314,A,3,0.8128,0.8267,1,0.2264,0.9731,0.5203
33.7773,1785919050.194489,A,3,0.8070,0.7933,1,0.2366,0.9596,0.4947
33.8558,1785919050.273036,A,3,0.7979,0.7767,1,0.2408,0.9249,0.4867
33.9356,1785919050.352467,A,3,0.8225,0.8800,1,0.2001,1.0853,0.5711
34.0147,1785919050.431932,A,3,0.8428,0.8900,1,0.1919,1.0849,0.5607
34.0936,1785919050.511141,A,3,0.8499,0.8667,1,0.2052,1.0372,0.5388
34.1715,1785919050.588396,A,3,0.8580,0.8767,1,0.1989,1.0957,0.5702
34.2514,1785919050.668588,A,3,0.8606,0.8667,1,0.2030,1.0514,0.5464
34.3297,1785919050.746832,A,3,0.8814,0.9300,1,0.1673,1.1848,0.6156
34.4085,1785919050.825695,A,3,0.8760,0.8633,1,0.2041,1.0832,0.5560
34.4865,1785919050.903732,A,3,0.8862,0.9100,1,0.1788,1.1755,0.5918
34.5655,1785919050.982430,A,3,0.9053,0.9500,1,0.1623,1.2290,0.6448
34.6436,1785919051.060782,A,3,0.8977,0.8800,1,0.1928,1.0973,0.5677
34.7236,1785919051.140777,A,3,0.9044,0.9200,1,0.1739,1.2036,0.6272
34.8027,1785919051.219976,A,3,0.9171,0.9467,1,0.1677,1.2528,0.6495
34.8806,1785919051.297546,A,3,0.9150,0.9100,1,0.1763,1.1939,0.6285
34.9586,1785919051.375844,A,3,0.9215,0.9367,1,0.1693,1.2260,0.6322
35.0365,1785919051.453406,A,3,0.9310,0.9533,1,0.1595,1.2729,0.6369
