t_session_sec,abs_ts,phase_rec,trial_idx_rec,relaxation_rec,relaxation_pct_rec,relaxation_window_open_rec,alpha_power_rec,beta1_power_rec,beta2_power_rec
35.1650,1785919342.584650,A,3,0.9417,0.9967,1,1.9032,0.4740,0.2074
35.2567,1785919342.675961,B,3,0.9572,0.9933,1,1.9080,0.4710,0.2121
35.3350,1785919342.753905,B,3,0.9610,0.9700,1,1.8129,0.4397,0.2287
35.4140,1785919342.832961,B,3,0.9677,0.9833,1,1.8796,0.4816,0.2053
35.4930,1785919342.912157,B,3,0.9544,0.9233,1,1.7468,0.4555,0.2251
35.5710,1785919342.989999,B,3,0.9361,0.8933,1,1.6675,0.4383,0.2337
35.6499,1785919343.068856,B,3,0.9263,0.9033,1,1.6775,0.4626,0.2144
35.7296,1785919343.148915,B,3,0.9004,0.8400,1,1.6221,0.4498,0.2207
35.8070,1785919343.225876,B,3,0.8823,0.8400,1,1.6370,0.4590,0.2186
35.8860,1785919343.305115,B,3,0.8906,0.9100,1,1.6783,0.4711,0.2057
35.9641,1785919343.383487,B,3,0.8624,0.7967,1,1.5844,0.4238,0.2469
36.0438,1785919343.462651,B,3,0.8897,0.9533,1,1.8196,0.4877,0.2035
36.1227,1785919343.542051,B,3,0.8958,0.9100,1,1.7362,0.4277,0.2448
36.2017,1785919343.621043,B,3,0.9120,0.9500,1,1.8115,0.4501,0.2315
36.2817,1785919343.700520,B,3,0.9164,0.9267,1,1.7706,0.4292,0.2425
36.3598,1785919343.778739,B,3,0.9185,0.9233,1,1.7465,0.4109,0.2477
36.4398,1785919343.859414,B,3,0.9160,0.9100,1,1.7604,0.4416,0.2394
36.5179,1785919343.936986,B,3,0.9062,0.8833,1,1.6733,0.4253,0.2400
36.5978,1785919344.016766,B,3,0.8673,0.7767,1,1.5668,0.4164,0.2454
36.6759,1785919344.094933,B,3,0.7781,0.5700,1,1.4179,0.3757,0.3025
36.7560,1785919344.175631,B,3,0.7127,0.5600,1,1.3647,0.3629,0.2958
36.8337,1785919344.253134,B,3,0.6869,0.6267,0,1.4115,0.3866,0.2785
36.9121,1785919344.331472,B,3,0.6598,0.5967,0,1.3988,0.3575,0.3039
36.9888,1785919344.407818,B,3,0.6889,0.7567,0,1.5975,0.4314,0.2532
37.0678,1785919344.486933,B,3,0.7112,0.7633,1,1.5461,0.3677,0.2812
37.1460,1785919344.564886,B,3,0.7278,0.7667,1,1.5848,0.3689,0.2927
37.2233,1785919344.642446,B,3,0.7545,0.8167,1,1.6888,0.4035,0.2788
37.3022,1785919344.721110,B,3,0.7921,0.8800,1,1.6872,0.3997,0.2654
37.3821,1785919344.801615,B,3,0.8285,0.9133,1,1.7584,0.4320,0.2448
37.4599,1785919344.879213,B,3,0.7880,0.6933,1,1.5046,0.3438,0.3125
37.5400,1785919344.959021,B,3,0.7676,0.7200,1,1.5637,0.4008,0.2774
37.6196,1785919345.039007,B,3,0.6823,0.4833,0,1.3531,0.3325,0.3282
37.6981,1785919345.117355,B,3,0.6106,0.4433,0,1.3049,0.3232,0.3274
37.7763,1785919345.195499,B,3,0.5594,0.4400,0,1.3187,0.3618,0.3041
37.8540,1785919345.273117,B,3,0.5006,0.3633,0,1.2574,0.3287,0.3372
37.9321,1785919345.351263,B,3,0.5144,0.5467,0,1.3742,0.3426,0.3176
38.0124,1785919345.431811,B,3,0.5431,0.6100,0,1.4221,0.3428,0.3200
38.0905,1785919345.509665,B,3,0.5882,0.6933,0,1.5074,0.3574,0.3052
38.1684,1785919345.587469,B,3,0.6357,0.7467,0,1.5606,0.3597,0.2938
38.2473,1785919345.666394,B,3,0.6840,0.7967,0,1.6421,0.3756,0.2859
38.3260,1785919345.745377,B,3,0.6948,0.7200,0,1.5417,0.3384,0.3149
38.4056,1785919345.824456,B,3,0.6984,0.7067,0,1.5366,0.3485,0.3104
38.4844,1785919345.903624,B,3,0.7029,0.7133,1,1.5488,0.3742,0.2914
38.5634,1785919345.983019,B,3,0.6780,0.6200,0,1.4391,0.3622,0.3054
38.6415,1785919346.060477,B,3,0.5866,0.3733,0,1.2570,0.3054,0.3491
38.7196,1785919346.138698,B,3,0.5376,0.4233,0,1.3110,0.3559,0.3086
38.8000,1785919346.219393,B,3,0.4973,0.4033,0,1.2947,0.3441,0.3235
38.8789,1785919346.297874,B,3,0.4991,0.5033,0,1.3595,0.3589,0.3062
38.9570,1785919346.376046,B,3,0.4874,0.4600,0,1.3758,0.3677,0.3179
39.0352,1785919346.454338,B,3,0.5502,0.6967,0,1.5129,0.3699,0.2888
